Timestamp,Location,Sensor ID,Raining,Water Level (mm),Temperature (°C),Humidity (%),Wind Speed (km/h),Weather Condition
2024-01-01 08:00:00,San Francisco,sensor-01,Yes,7.7,1.8,81,6.9,Rainy
2024-01-02 08:00:00,New York,sensor-02,No,0.0,23.2,89,12.7,Cloudy
2024-01-03 08:00:00,San Francisco,sensor-01,No,0.0,23.1,50,18.5,Sunny
2024-01-04 08:00:00,San Francisco,sensor-01,Yes,11.0,1.3,80,22.5,Snowy
2024-01-05 08:00:00,New York,sensor-02,Yes,3.9,14.8,75,24.6,Snowy
2024-01-06 08:00:00,New York,sensor-02,Yes,7.7,2.8,50,6.9,Snowy
2024-01-07 08:00:00,New York,sensor-02,No,0.0,21.9,86,22.7,Cloudy
2024-01-08 08:00:00,San Francisco,sensor-01,No,0.0,0.7,84,19.0,Sunny
2024-01-09 08:00:00,New York,sensor-02,No,0.0,20.4,69,22.7,Sunny
2024-01-10 08:00:00,New York,sensor-02,No,0.0,18.4,73,22.0,Cloudy
2024-01-11 08:00:00,San Francisco,sensor-01,Yes,14.0,18.6,89,17.1,Rainy
2024-01-12 08:00:00,New York,sensor-02,Yes,0.1,-2.0,84,24.5,Rainy
2024-01-13 08:00:00,San Francisco,sensor-01,Yes,4.3,4.2,51,18.8,Snowy
2024-01-14 08:00:00,New York,sensor-02,Yes,9.8,1.7,82,5.4,Rainy
2024-01-15 08:00:00,New York,sensor-02,No,0.0,9.8,69,12.3,Cloudy
2024-01-16 08:00:00,San Francisco,sensor-01,Yes,11.2,16.6,82,15.9,Snowy
2024-01-17 08:00:00,New York,sensor-02,No,0.0,10.3,71,10.3,Sunny
2024-01-18 08:00:00,San Francisco,sensor-01,Yes,3.7,24.2,57,17.6,Snowy
2024-01-19 08:00:00,San Francisco,sensor-01,No,0.0,18.8,79,17.9,Sunny
2024-01-20 08:00:00,San Francisco,sensor-01,Yes,10.0,20.9,68,16.4,Rainy
2024-01-21 08:00:00,New York,sensor-02,Yes,11.5,-3.7,77,14.4,Snowy
2024-01-22 08:00:00,New York,sensor-02,No,0.0,3.4,55,12.4,Cloudy
2024-01-23 08:00:00,San Francisco,sensor-01,No,0.0,-4.5,73,11.6,Cloudy
2024-01-24 08:00:00,New York,sensor-02,Yes,8.3,12.2,82,6.5,Rainy
2024-01-25 08:00:00,New York,sensor-02,No,0.0,4.2,81,22.0,Sunny
2024-01-26 08:00:00,San Francisco,sensor-01,No,0.0,4.5,67,16.1,Cloudy
2024-01-27 08:00:00,New York,sensor-02,Yes,14.0,15.9,89,6.4,Snowy
2024-01-28 08:00:00,San Francisco,sensor-01,No,0.0,1.3,71,12.2,Cloudy
2024-01-29 08:00:00,San Francisco,sensor-01,No,0.0,2.6,51,11.5,Sunny
2024-01-30 08:00:00,San Francisco,sensor-01,No,0.0,20.5,58,19.0,Sunny
2024-01-31 08:00:00,San Francisco,sensor-01,Yes,5.4,3.8,75,21.2,Snowy
2024-02-01 08:00:00,San Francisco,sensor-01,No,0.0,21.0,62,6.6,Cloudy
2024-02-02 08:00:00,San Francisco,sensor-01,Yes,0.1,13.8,69,18.0,Rainy
2024-02-03 08:00:00,San Francisco,sensor-01,No,0.0,16.1,65,6.0,Cloudy
2024-02-04 08:00:00,San Francisco,sensor-01,Yes,13.3,-4.2,83,6.9,Snowy
2024-02-05 08:00:00,New York,sensor-02,No,0.0,12.3,71,11.6,Sunny
2024-02-06 08:00:00,New York,sensor-02,No,0.0,-0.3,71,16.8,Sunny
2024-02-07 08:00:00,San Francisco,sensor-01,No,0.0,-4.1,55,11.1,Cloudy
2024-02-08 08:00:00,San Francisco,sensor-01,No,0.0,11.1,86,15.4,Cloudy
2024-02-09 08:00:00,New York,sensor-02,Yes,11.5,1.5,54,14.1,Rainy
2024-02-10 08:00:00,San Francisco,sensor-01,No,0.0,20.3,81,15.6,Cloudy
2024-02-11 08:00:00,San Francisco,sensor-01,Yes,8.1,14.1,65,24.5,Rainy
2024-02-12 08:00:00,San Francisco,sensor-01,No,0.0,10.5,79,5.8,Sunny
2024-02-13 08:00:00,New York,sensor-02,No,0.0,7.0,68,13.8,Sunny
2024-02-14 08:00:00,San Francisco,sensor-01,No,0.0,-2.6,86,8.7,Cloudy
2024-02-15 08:00:00,New York,sensor-02,No,0.0,-2.6,58,18.8,Cloudy
2024-02-16 08:00:00,San Francisco,sensor-01,Yes,0.9,22.5,83,9.8,Rainy
2024-02-17 08:00:00,New York,sensor-02,Yes,1.4,0.5,50,24.1,Snowy
2024-02-18 08:00:00,San Francisco,sensor-01,Yes,11.1,11.6,71,19.6,Rainy
2024-02-19 08:00:00,New York,sensor-02,Yes,0.7,12.0,86,7.4,Snowy
